cap,ctx,ncmoe,mode,length,prefill_tps,decode_tps,ttft_ms
48,262144,23,mmap,256,185.24,51.2,1383.43
48,262144,23,mmap,2048,405.76,51.76,5047.4
48,262144,23,mmap,8192,392.28,48.6,20929.51
48,262144,23,mmap,32768,404.27,39.56,81054.63
48,262144,23,mmap,65536,390.18,31.78,167964.43
48,262144,23,mmap,131072,366.22,24.13,357906.73
