ts	current	anon	file	pgmajfault	io_read_bytes	events_high	events_oom
19:31:42	20983808	17596416	1183744	0	1101824	0	0
19:31:47	3752177664	548941824	3106476032	232	3005689856	0	0
19:31:52	5267886080	844443648	4283555840	2598	4100116480	0	0
19:31:57	5424979968	852328448	4412014592	4487	4228444160	0	0
19:32:02	5917614080	1296998400	4452954112	5392	4264419328	0	0
19:32:07	5936701440	1297309696	4469161984	6368	4280627200	0	0
19:32:12	6206005248	1519845376	4509188096	9690	4320653312	0	0
19:32:17	6359101440	1638027264	4538699776	12391	4352188416	0	0
19:32:22	6499545088	1776947200	4540743680	12409	4353007616	0	0
19:32:27	6500143104	1776947200	4541714432	12470	4353310720	0	0
19:32:32	6501335040	1776947200	4542693376	12555	4354232320	0	0
19:32:37	6501703680	1776984064	4543512576	12641	4354977792	0	0
19:32:42	6501937152	1776984064	4543778816	12706	4355366912	0	0
19:32:48	6502105088	1776984064	4544102400	12757	4355637248	0	0
19:32:53	6503534592	1777020928	4544348160	12802	4356046848	0	0
19:32:58	6504013824	1777020928	4545028096	12874	4356784128	0	0
19:33:03	6504095744	1777082368	4545929216	12942	4357398528	0	0
19:33:08	6505287680	1777119232	4546117632	12988	4357636096	0	0
19:33:13	6505439232	1777119232	4546449408	13039	4357914624	0	0
19:33:18	6507089920	1777119232	4546539520	13061	4358287360	0	0
19:33:23	6507577344	1777156096	4547203072	13122	4358668288	0	0
19:33:28	6510305280	1777156096	4549726208	13223	4361203712	0	0
19:33:33	6510149632	1777213440	4550311936	13293	4361793536	0	0
19:33:38	6510276608	1777250304	4550496256	13338	4362010624	0	0
19:33:43	6510751744	1777250304	4550647808	13375	4362752000	0	0
19:33:48	6512193536	1777250304	4552105984	13472	4363571200	0	0
19:33:53	6512652288	1777287168	4552589312	13542	4364111872	0	0
19:33:58	6514016256	1777287168	4553252864	13625	4364718080	0	0
19:34:03	6513750016	1777287168	4553383936	13657	4364886016	0	0
19:34:08	6720950272	1974771712	4561088512	14544	4372553728	0	0
19:34:13	6731808768	1974771712	4571283456	15203	4382822400	0	0
19:34:18	6995869696	2233708544	4575186944	15552	4386652160	0	0
19:34:23	6996017152	2233745408	4575186944	15552	4386652160	0	0
19:34:28	6995587072	2233745408	4575342592	15590	4386807808	0	0
19:34:33	6996348928	2233745408	4575715328	15652	4387180544	0	0
19:34:38	6996910080	2233839616	4575821824	15678	4387287040	0	0
19:34:43	6996058112	2233839616	4576006144	15723	4387471360	0	0
19:34:48	6998056960	2233839616	4577107968	15850	4388573184	0	0
19:34:53	6997942272	2233876480	4577390592	15919	4388855808	0	0
19:34:58	6998327296	2233876480	4577583104	15966	4389101568	0	0
19:35:03	6998507520	2233876480	4577705984	15996	4389203968	0	0
19:35:08	6999457792	2233913344	4577894400	16042	4389359616	0	0
19:35:13	6998937600	2233970688	4578033664	16076	4389543936	0	0
19:35:18	7000223744	2233970688	4578766848	16190	4390232064	0	0
19:35:23	7000354816	2234007552	4578955264	16236	4390539264	0	0
19:35:28	7000768512	2234007552	4579508224	16302	4390973440	0	0
19:35:33	7000739840	2234007552	4579672064	16342	4391301120	0	0
19:35:38	7001681920	2234044416	4580376576	16458	4391841792	0	0
19:35:43	7001751552	2234044416	4580483072	16484	4392013824	0	0
19:35:48	7201161216	2430857216	4582830080	16917	4394295296	0	0
19:35:53	7208796160	2431533056	4588355584	17541	4399820800	0	0
19:35:58	7462375424	2682953728	4589809664	17896	4401274880	0	0
19:36:03	7461609472	2682953728	4589846528	17905	4401311744	0	0
19:36:08	7461801984	2682953728	4589887488	17915	4401352704	0	0
19:36:13	7462289408	2682953728	4590043136	17953	4401602560	0	0
19:36:18	7462887424	2682281984	4590407680	18014	4401913856	0	0
19:36:23	7462596608	2682957824	4590604288	18062	4402102272	0	0
19:36:28	7462436864	2682957824	4590936064	18143	4402401280	0	0
19:36:33	7463514112	2682957824	4591214592	18211	4402712576	0	0
19:36:38	7464136704	2682957824	4591726592	18257	4403290112	0	0
19:36:43	7463690240	2682957824	4592103424	18349	4403642368	0	0
19:36:48	7464452096	2682961920	4592316416	18401	4403863552	0	0
19:36:54	7465426944	2682982400	4592607232	18472	4404072448	0	0
