ts	current	anon	file	pgmajfault	io_read_bytes	events_high	events_oom
17:34:11	19750912	18157568	73728	0	0	0	0
17:34:16	699711488	539525120	69230592	0	0	0	0
17:34:21	1125941248	831115264	152313856	73	299008	0	0
17:34:26	1392594944	1083695104	152313856	73	299008	0	0
17:34:31	1592573952	1270771712	158515200	375	1536000	0	0
17:34:36	1812742144	1478705152	164671488	1815	7692288	0	0
17:34:41	1816285184	1478705152	164671488	1815	7692288	0	0
17:34:46	2074963968	1735761920	164671488	1815	7692288	0	0
17:34:51	2075865088	1735798784	164671488	1815	7692288	0	0
17:34:56	2075901952	1735798784	165072896	1913	8224768	0	0
17:35:01	2077274112	1735798784	165842944	2059	9064448	0	0
17:35:06	2077147136	1735835648	166043648	2108	9064448	0	0
17:35:11	2077995008	1735835648	166211584	2149	9736192	0	0
17:35:16	2078752768	1735835648	167415808	2385	10436608	0	0
17:35:21	2079895552	1735872512	167829504	2486	11321344	0	0
17:35:26	2080096256	1735933952	168656896	2646	11677696	0	0
17:35:31	2080354304	1735933952	168947712	2717	12058624	0	0
17:35:36	2081558528	1735970816	169676800	2895	12697600	0	0
17:35:41	2082099200	1735970816	169934848	2958	13119488	0	0
17:35:46	2082447360	1735970816	171094016	3209	14114816	0	0
17:35:51	2083106816	1736007680	171577344	3327	14798848	0	0
17:35:56	2083893248	1736007680	172503040	3490	15556608	0	0
17:36:01	2084675584	1736065024	173064192	3627	16379904	0	0
17:36:06	2284879872	1933418496	174542848	3804	17563648	0	0
17:36:11	2393817088	2041114624	174542848	3804	17563648	0	0
17:36:16	2537615360	2184286208	174542848	3804	17563648	0	0
17:36:21	2538418176	2184323072	174542848	3804	17563648	0	0
17:36:26	2538405888	2184323072	174542848	3804	17563648	0	0
17:36:32	2538188800	2184323072	174542848	3804	17563648	0	0
17:36:37	2538467328	2184421376	174542848	3804	17563648	0	0
17:36:42	2539298816	2184421376	174542848	3804	17563648	0	0
17:36:47	2539552768	2184421376	174772224	3860	17793024	0	0
17:36:52	2540224512	2184458240	174804992	3868	18120704	0	0
17:36:57	2541350912	2184458240	176078848	4116	19099648	0	0
17:37:02	2542157824	2184458240	176562176	4171	19914752	0	0
17:37:07	2542669824	2184552448	177684480	4445	20705280	0	0
17:37:12	2543800320	2184552448	178417664	4624	21733376	0	0
17:37:17	2544578560	2184552448	179363840	4792	22384640	0	0
17:37:22	2742550528	2381946880	179789824	4896	22810624	0	0
17:37:27	2742145024	2381946880	179789824	4896	22810624	0	0
17:37:32	2998362112	2637791232	179789824	4896	22810624	0	0
17:37:37	2998337536	2637828096	179789824	4896	22810624	0	0
17:37:42	2998468608	2637885440	179789824	4896	22810624	0	0
17:37:47	2998951936	2637885440	179789824	4896	22810624	0	0
17:37:52	3000246272	2637922304	180207616	4998	23228416	0	0
17:37:57	3000573952	2637922304	180207616	4998	23289856	0	0
17:38:02	3001077760	2637922304	180301824	5021	23322624	0	0
17:38:07	3001208832	2637959168	180301824	5021	23523328	0	0
17:38:12	3001319424	2638016512	180596736	5093	23617536	0	0
17:38:17	3001548800	2638020608	180658176	5108	23678976	0	0
17:38:22	3001434112	2638020608	181116928	5172	24334336	0	0
17:38:27	3001425920	2638020608	181383168	5237	24403968	0	0
17:38:32	3001241600	2638020608	181641216	5300	24662016	0	0
17:38:37	3199393792	2835382272	182247424	5387	25268224	0	0
17:38:42	3451674624	3086790656	182247424	5387	25268224	0	0
17:38:47	3455762432	3086794752	184524800	5908	28684288	0	0
17:38:52	3461357568	3086794752	190914560	7342	33935360	0	0
