ts	current	anon	file	pgmajfault	io_read_bytes	events_high	events_oom
19:15:12	26689536	25944064	73728	0	0	0	0
19:15:17	17952595968	240558080	17668460544	1664	17663741952	0	0
19:15:22	24673542144	240586752	24384319488	1827	24382218240	0	0
19:15:27	51823083520	240615424	51462602752	5324	51461857280	0	0
19:15:32	68719415296	417026048	68119470080	5429	72695316480	0	0
19:15:37	68719230976	615673856	67919343616	10023	73039228928	0	0
19:15:42	68719280128	725884928	67808759808	13322	73280008192	0	0
19:15:47	68719239168	997773312	67537620992	14728	73396600832	0	0
19:15:52	68719435776	997941248	67537514496	15667	73490329600	0	0
19:15:57	68719153152	1195315200	67340333056	23376	74194788352	0	0
19:16:02	68718907392	1314033664	67218513920	27815	74647040000	0	0
19:16:07	68719415296	1434419200	67098279936	29648	74759233536	0	0
19:16:12	68485980160	1631805440	66668613632	31574	74860421120	0	0
19:16:17	68719243264	1631805440	66901299200	45991	75337748480	0	0
19:16:22	68719419392	1868603392	66663960576	52732	75529605120	0	0
19:16:27	68719325184	1867927552	66663792640	53857	75599974400	0	0
19:16:32	68644941824	2065285120	66391511040	56728	75824820224	0	0
19:16:37	68719300608	2065321984	66464768000	61164	76065734656	0	0
19:16:42	68719415296	2184097792	66345541632	64166	76185468928	0	0
19:16:47	68719415296	2301468672	66228350976	64784	76249317376	0	0
19:16:52	68633341952	2498842624	65944240128	66685	76467822592	0	0
19:16:57	68719382528	2498842624	66030194688	70616	76690980864	0	0
19:17:02	68719419392	2734972928	65792835584	72189	76791021568	0	0
19:17:07	68719435776	2735009792	65792045056	73318	76897693696	0	0
