ts	current	anon	file	pgmajfault	io_read_bytes	events_high	events_oom
15:55:18	21827584	21585920	73728	0	0	0	0
15:55:23	677015552	537743360	30666752	24	77824	0	0
15:55:28	1065152512	872939520	33366016	171	679936	0	0
15:55:33	1083191296	878948352	33366016	171	679936	0	0
15:55:38	1326641152	1117925376	33374208	203	688128	0	0
15:55:43	1327427584	1117962240	34177024	399	1744896	0	0
15:55:48	1330479104	1117962240	35250176	661	2707456	0	0
15:55:53	1331580928	1117962240	36089856	866	3502080	0	0
15:55:58	1331924992	1117999104	36687872	1012	4096000	0	0
15:56:03	1335136256	1118060544	39211008	1247	6524928	0	0
15:56:08	1340932096	1124732928	41111552	1648	8425472	0	0
15:56:13	1543892992	1316216832	41582592	1763	8896512	0	0
15:56:18	1546506240	1316216832	41582592	1763	8896512	0	0
15:56:23	1546354688	1316216832	41582592	1763	8896512	0	0
15:56:28	1545478144	1316253696	41582592	1763	8896512	0	0
15:56:33	1545453568	1316253696	41582592	1763	8896512	0	0
15:56:38	1784516608	1552338944	41582592	1763	8896512	0	0
15:56:43	1782308864	1552375808	41582592	1763	8896512	0	0
15:56:48	1782288384	1552375808	41582592	1763	8896512	0	0
15:56:53	1782288384	1552375808	41582592	1763	8896512	0	0
15:56:58	1784705024	1551736832	41648128	1779	9728000	0	0
15:57:03	1786990592	1551736832	43737088	2289	11325440	0	0
15:57:08	1788891136	1551794176	44924928	2579	12832768	0	0
15:57:13	1789771776	1551831040	46579712	2972	13893632	0	0
15:57:19	1791172608	1551831040	47566848	3213	14946304	0	0
15:57:24	1793273856	1551831040	49520640	3501	17506304	0	0
15:57:29	1996668928	1749929984	51744768	4044	19058688	0	0
15:57:34	1996275712	1749929984	51744768	4044	19058688	0	0
15:57:39	1996296192	1749929984	51744768	4044	19058688	0	0
15:57:44	1997058048	1750028288	51744768	4044	19058688	0	0
15:57:49	1997058048	1750028288	51744768	4044	19058688	0	0
15:57:54	1996468224	1750028288	51744768	4044	19058688	0	0
15:57:59	2232913920	1986150400	51744768	4044	19058688	0	0
15:58:04	2232721408	1986150400	51744768	4044	19058688	0	0
15:58:09	2232598528	1986150400	51744768	4044	19058688	0	0
15:58:14	2233266176	1986244608	51744768	4044	19058688	0	0
15:58:19	2231922688	1985568768	51744768	4044	19058688	0	0
15:58:24	2234499072	1985568768	52809728	4241	20123648	0	0
15:58:29	2234621952	1985605632	52842496	4249	20156416	0	0
15:58:34	2236436480	1985605632	53493760	4345	20840448	0	0
15:58:39	2236780544	1985605632	53690368	4393	21004288	0	0
15:58:44	2236391424	1985642496	54243328	4528	22188032	0	0
15:58:49	2438352896	2183733248	56676352	5020	23990272	0	0
15:58:54	2438160384	2183733248	56676352	5020	23990272	0	0
15:58:59	2437984256	2183770112	56676352	5020	23990272	0	0
15:59:04	2437775360	2183770112	56676352	5020	23990272	0	0
15:59:09	2437996544	2183770112	56676352	5020	23990272	0	0
15:59:14	2557054976	2301849600	56676352	5020	23990272	0	0
15:59:19	2675556352	2419945472	56676352	5020	23990272	0	0
15:59:24	2674892800	2419953664	56676352	5020	23990272	0	0
15:59:29	2675007488	2419953664	56676352	5020	23990272	0	0
15:59:34	2673987584	2419953664	56676352	5020	23990272	0	0
15:59:39	2672574464	2419277824	56676352	5020	23990272	0	0
15:59:44	2675503104	2419277824	57020416	5104	24432640	0	0
15:59:49	2677108736	2419277824	57683968	5266	25489408	0	0
15:59:54	2678034432	2419281920	59584512	5685	27291648	0	0
15:59:59	2678222848	2419281920	60956672	6020	28438528	0	0
16:00:04	2681552896	2419281920	62779392	6402	30531584	0	0
16:00:09	2880716800	2617335808	64004096	6701	31318016	0	0
16:00:14	2880716800	2617335808	64004096	6701	31318016	0	0
16:00:19	3115290624	2853007360	64004096	6701	31318016	0	0
16:00:24	3117236224	2853007360	64102400	6725	31629312	0	0
16:00:29	3117936640	2853007360	64548864	6834	31862784	0	0
16:00:34	3119235072	2853007360	65798144	7139	33243136	0	0
16:00:39	3121115136	2853007360	67022848	7438	35020800	0	0
16:00:44	3123286016	2853007360	69464064	7908	36777984	0	0
16:00:49	3124297728	2853007360	70508544	8163	37822464	0	0
