Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),180.16,0.00,657.33,,,,,,179.57,,182.42,183.52,204.27,20.08
Active Decode Throughput Per User (tokens/sec/user),180.16,0.00,657.33,,,,,,179.57,,182.42,183.52,204.27,20.08
Active Prefill Throughput (tokens/sec),1615.35,1615.35,1615.35,,,,,,1615.35,,1615.35,1615.35,1615.35,0.00
Active Prefill Throughput Per User (tokens/sec/user),1615.35,1615.35,1615.35,,,,,,1615.35,,1615.35,1615.35,1615.35,0.00
Active Total Throughput (tokens/sec),623.80,180.16,1615.35,,,,,,180.16,,1615.35,1615.35,1615.35,663.24
Credit-to-Start Latency (ms),0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.00
Decode Duration (ms),2836.39,2836.39,2836.39,2836.39,2836.39,2836.39,2836.39,2836.39,2836.39,2836.39,2836.39,2836.39,2836.39,0.00
E2E Output Token Throughput (tokens/sec/user),124.71,124.71,124.71,124.71,124.71,124.71,124.71,124.71,124.71,124.71,124.71,124.71,124.71,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.69,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.46
Effective Decode Throughput (tokens/sec),124.40,0.00,657.33,,,,,,177.88,,181.78,182.78,196.28,84.94
Effective Decode Throughput Per User (tokens/sec/user),124.40,0.00,657.33,,,,,,177.88,,181.78,182.78,196.28,84.94
Effective Latency (CO-aware) (ms),4106.25,4106.25,4106.25,4106.25,4106.25,4106.25,4106.25,4106.25,4106.25,4106.25,4106.25,4106.25,4106.25,0.00
Effective Prefill Concurrency,0.31,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.46
Effective Prefill Throughput (tokens/sec),499.08,0.00,1615.35,,,,,,0.00,,1615.35,1615.35,1615.35,746.40
